resort,source,station,station_id,station_m,region,season,oct,nov,dec,jan,feb,mar,apr,may,season_total_cm,incomplete,note
ani,jma,阿仁合,32-1131,120.0,秋田県,1979/80,0,0.0,102.0,236.0,224.0,98.0,15.0,0,675,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,1980/81,0,0,186.0,297.0,166.0,99.0,0,0,748,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,1981/82,0,50.0,219.0,355.0,435.0,186.0,0,0,1245,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,1982/83,0,76.0,264.0,452.0,476.0,347.0,0.0,0,1615,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,1983/84,0,47.0,269.0,264.0,326.0,346.0,61.0,0,1313,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,1984/85,0,18.0,150.0,81.0,190.0,131.0,18.0,0,588,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,1985/86,0,57.0,274.0,380.0,274.0,98.0,25.0,0,1108,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,1986/87,0,33.0,81.0,382.0,218.0,181.0,3.0,0,898,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,1987/88,0,70.0,165.0,273.0,308.0,125.0,1.0,0,942,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,1988/89,0,0.0,191.0,158.0,116.0,17.0,0.0,0,482,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,1989/90,0,22.0,189.0,328.0,69.0,0.0,0,0,608,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,1990/91,0,7.0,161.0,601.0,247.0,151.0,15.0,0,1182,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,1991/92,0,17.0,193.0,267.0,274.0,143.0,0.0,0,894,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,1992/93,0.0,0.0,34.0,0,250.0,129.0,0.0,0,413,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,1993/94,0,22.0,25.0,185.0,279.0,210.0,29.0,0,750,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,1994/95,0,0.0,217.0,337.0,189.0,113.0,31.0,0.0,887,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,1995/96,0,30.0,159.0,242.0,243.0,189.0,27.0,0,890,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,1996/97,0.0,56.0,123.0,251.0,193.0,104.0,19.0,0.0,746,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,1997/98,0.0,0.0,123.0,305.0,177.0,86.0,7.0,0.0,698,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,1998/99,0,97.0,162.0,308.0,269.0,156.0,44.0,0.0,1036,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,1999/00,0.0,39.0,153.0,231.0,280.0,204.0,20.0,0.0,927,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2000/01,0.0,32.0,164.0,286.0,190.0,197.0,15.0,0.0,884,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2001/02,0.0,7.0,198.0,223.0,162.0,109.0,0.0,0.0,699,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2002/03,0.0,89.0,186.0,313.0,162.0,141.0,14.0,0.0,905,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2003/04,0.0,0.0,97.0,289.0,180.0,166.0,0.0,0,732,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2004/05,0,0.0,130.0,317.0,306.0,169.0,46.0,0.0,968,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2005/06,0,6.0,313.0,313.0,202.0,230.0,40.0,0.0,1104,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2006/07,0.0,0.0,89.0,155.0,150.0,194.0,0.0,0.0,588,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2007/08,0,20.0,134.0,267.0,168.0,50.0,0.0,0,639,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2008/09,0.0,31.0,115.0,273.0,174.0,98.0,0.0,0,691,1,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2009/10,0.0,0.0,140.0,232.0,121.0,115.0,0.0,0.0,608,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2010/11,0.0,12.0,149.0,307.0,73.0,159.0,14.0,0.0,714,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2011/12,0.0,22.0,241.0,269.0,167.0,103.0,32.0,0.0,834,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2012/13,0.0,10.0,245.0,247.0,216.0,66.0,1.0,0.0,785,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2013/14,0.0,46.0,179.0,287.0,221.0,144.0,10.0,0.0,887,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2014/15,0.0,0.0,318.0,250.0,160.0,76.0,1.0,0.0,805,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2015/16,0.0,0.0,55.0,214.0,195.0,45.0,0.0,0.0,509,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2016/17,0.0,20.0,107.0,239.0,193.0,102.0,5.0,0.0,666,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2017/18,0.0,66.0,239.0,220.0,200.0,51.0,1.0,0.0,777,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2018/19,0.0,5.0,229.0,206.0,126.0,70.0,9.0,0.0,645,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2019/20,0.0,8.0,139.0,137.0,163.0,30.0,0.0,0.0,477,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2020/21,0.0,3.0,164.0,245.0,182.0,7.0,2.0,0.0,603,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2021/22,0.0,0.0,169.0,301.0,147.0,56.0,1.0,0.0,674,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2022/23,0.0,0.0,199.0,193.0,163.0,10.0,0.0,0.0,565,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2023/24,0.0,53.0,141.0,204.0,110.0,128.0,0.0,0.0,636,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2024/25,0.0,12.0,284.0,203.0,198.0,69.0,4.0,0.0,770,0,Aniai 120m; Ani base 200m
ani,jma,阿仁合,32-1131,120.0,秋田県,2025/26,0.0,28.0,159.0,391.0,94.0,53.0,0.0,0.0,725,0,Aniai 120m; Ani base 200m
