resort,station_ja,prec_no,block_no,season,nov,dec,jan,feb,mar,apr,season_total_cm,incomplete,note
furano,富良野,12,0021,1979/80,10.0,46.0,115.0,12.0,10.0,12.0,205,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,1980/81,10.0,21.0,0,0,0,0,31,1,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,1981/82,58.0,32.0,68.0,131.0,109.0,0.0,398,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,1982/83,82.0,291.0,259.0,186.0,145.0,5.0,968,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,1983/84,40.0,252.0,188.0,158.0,134.0,54.0,826,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,1984/85,168.0,98.0,189.0,148.0,127.0,8.0,738,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,1985/86,167.0,213.0,167.0,175.0,195.0,58.0,975,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,1986/87,154.0,196.0,157.0,171.0,149.0,77.0,904,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,1987/88,83.0,178.0,160.0,168.0,124.0,17.0,730,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,1988/89,125.0,186.0,174.0,106.0,100.0,0.0,691,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,1989/90,6.0,180.0,197.0,116.0,81.0,0.0,580,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,1990/91,0.0,99.0,94.0,168.0,165.0,0.0,526,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,1991/92,146.0,136.0,238.0,160.0,108.0,7.0,795,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,1992/93,57.0,154.0,191.0,172.0,61.0,0.0,635,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,1993/94,69.0,206.0,189.0,137.0,169.0,24.0,794,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,1994/95,41.0,147.0,131.0,110.0,50.0,17.0,496,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,1995/96,26.0,123.0,186.0,93.0,163.0,63.0,654,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,1996/97,98.0,159.0,148.0,151.0,115.0,18.0,689,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,1997/98,2.0,147.0,167.0,94.0,161.0,19.0,590,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,1998/99,98.0,209.0,158.0,156.0,154.0,44.0,819,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,1999/00,61.0,191.0,178.0,127.0,189.0,76.0,822,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2000/01,135.0,182.0,143.0,141.0,100.0,14.0,715,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2001/02,108.0,162.0,133.0,112.0,118.0,0.0,633,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2002/03,107.0,146.0,150.0,107.0,102.0,16.0,628,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2003/04,18.0,159.0,189.0,167.0,137.0,26.0,696,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2004/05,66.0,209.0,129.0,132.0,127.0,38.0,701,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2005/06,69.0,141.0,140.0,144.0,174.0,60.0,728,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2006/07,65.0,200.0,197.0,100.0,96.0,28.0,686,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2007/08,90.0,163.0,139.0,126.0,21.0,0.0,539,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2008/09,110.0,146.0,104.0,133.0,107.0,0.0,600,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2009/10,59.0,160.0,143.0,71.0,125.0,28.0,586,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2010/11,19.0,140.0,109.0,83.0,99.0,22.0,472,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2011/12,79.0,165.0,89.0,117.0,74.0,67.0,591,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2012/13,82.0,153.0,95.0,97.0,137.0,3.0,567,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2013/14,30.0,146.0,148.0,61.0,98.0,56.0,539,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2014/15,19.0,103.0,113.0,69.0,90.0,0.0,394,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2015/16,49.0,145.0,140.0,146.0,63.0,0.0,543,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2016/17,117.0,167.0,114.0,88.0,67.0,5.0,558,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2017/18,102.0,165.0,143.0,119.0,82.0,2.0,613,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2018/19,63.0,172.0,145.0,110.0,91.0,12.0,593,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2019/20,113.0,113.0,119.0,134.0,49.0,5.0,533,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2020/21,50.0,175.0,92.0,113.0,84.0,0.0,514,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2021/22,34.0,79.0,145.0,73.0,79.0,4.0,414,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2022/23,0.0,172.0,95.0,117.0,24.0,0.0,408,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2023/24,65.0,117.0,134.0,77.0,68.0,4.0,465,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2024/25,26.0,132.0,105.0,90.0,64.0,2.0,419,0,"Furano 173m; resort base 235m, top 1074m"
furano,富良野,12,0021,2025/26,28.0,153.0,100.0,70.0,51.0,0.0,402,0,"Furano 173m; resort base 235m, top 1074m"
