resort,station_ja,prec_no,block_no,season,nov,dec,jan,feb,mar,apr,season_total_cm,incomplete,note
geto,湯田,33,0229,1979/80,0.0,112.0,242.0,282.0,100.0,26.0,762,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,1980/81,0,158.0,266.0,117.0,152.0,0.0,693,1,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,1981/82,1.0,90.0,152.0,176.0,4.0,1.0,424,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,1982/83,95.0,104.0,315.0,339.0,147.0,22.0,1022,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,1983/84,98.0,306.0,376.0,348.0,239.0,63.0,1430,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,1984/85,25.0,233.0,373.0,222.0,115.0,74.0,1042,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,1985/86,62.0,294.0,440.0,299.0,108.0,65.0,1268,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,1986/87,51.0,138.0,369.0,237.0,177.0,43.0,1015,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,1987/88,88.0,242.0,359.0,339.0,156.0,59.0,1243,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,1988/89,69.0,263.0,202.0,160.0,97.0,6.0,797,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,1989/90,39.0,246.0,302.0,71.0,128.0,13.0,799,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,1990/91,21.0,137.0,355.0,257.0,145.0,26.0,941,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,1991/92,8.0,195.0,232.0,298.0,146.0,16.0,895,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,1992/93,31.0,230.0,254.0,288.0,136.0,45.0,984,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,1993/94,0,105.0,320.0,261.0,214.0,61.0,961,1,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,1994/95,0.0,204.0,354.0,194.0,147.0,127.0,1026,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,1995/96,71.0,284.0,348.0,212.0,158.0,125.0,1198,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,1996/97,63.0,196.0,311.0,259.0,154.0,18.0,1001,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,1997/98,0.0,139.0,397.0,182.0,240.0,25.0,983,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,1998/99,57.0,227.0,397.0,324.0,162.0,62.0,1229,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,1999/00,101.0,232.0,266.0,408.0,257.0,66.0,1330,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2000/01,20.0,256.0,363.0,292.0,185.0,36.0,1152,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2001/02,57.0,239.0,297.0,172.0,111.0,5.0,881,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2002/03,167.0,198.0,357.0,117.0,114.0,3.0,956,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2003/04,7.0,93.0,373.0,269.0,170.0,15.0,927,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2004/05,0.0,177.0,369.0,312.0,213.0,73.0,1144,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2005/06,33.0,426.0,317.0,205.0,182.0,67.0,1230,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2006/07,0,163.0,218.0,175.0,228.0,21.0,805,1,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2007/08,155.0,272.0,310.0,305.0,123.0,20.0,1185,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2008/09,80.0,206.0,286.0,221.0,207.0,22.0,1022,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2009/10,14.0,234.0,375.0,184.0,184.0,94.0,1085,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2010/11,41.0,250.0,427.0,141.0,249.0,86.0,1194,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2011/12,58.0,302.0,328.0,288.0,165.0,75.0,1216,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2012/13,68.0,339.0,371.0,329.0,117.0,28.0,1252,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2013/14,84.0,267.0,427.0,196.0,240.0,60.0,1274,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2014/15,10.0,421.0,260.0,172.0,118.0,34.0,1015,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2015/16,0.0,158.0,310.0,248.0,107.0,0.0,823,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2016/17,47.0,215.0,280.0,281.0,165.0,3.0,991,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2017/18,129.0,327.0,292.0,274.0,28.0,10.0,1060,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2018/19,36.0,294.0,316.0,219.0,138.0,69.0,1072,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2019/20,44.0,158.0,145.0,174.0,57.0,12.0,590,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2020/21,15.0,357.0,357.0,313.0,78.0,25.0,1145,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2021/22,17.0,256.0,393.0,226.0,95.0,9.0,996,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2022/23,0.0,258.0,246.0,167.0,28.0,2.0,701,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2023/24,93.0,99.0,149.0,80.0,162.0,1.0,584,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2024/25,10.0,260.0,216.0,273.0,69.0,2.0,830,0,Yuda 250m; Geto Kogen base 430m
geto,湯田,33,0229,2025/26,2.0,193.0,353.0,120.0,53.0,1.0,722,0,Yuda 250m; Geto Kogen base 430m
