resort,source,station,station_id,station_m,region,season,oct,nov,dec,jan,feb,mar,apr,may,season_total_cm,incomplete,note
hakkoda,jma,酸ケ湯,31-1079,890.0,青森県,1979/80,0,90.0,265.0,443.0,427.0,173.0,26.0,14.0,1438,1,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,jma,酸ケ湯,31-1079,890.0,青森県,1980/81,0,0,212.0,455.0,239.0,197.0,0,0.0,1103,1,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,jma,酸ケ湯,31-1079,890.0,青森県,1981/82,0,161.0,169.0,290.0,313.0,173.0,0,0,1106,1,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,jma,酸ケ湯,31-1079,890.0,青森県,1982/83,0,106.0,305.0,401.0,383.0,196.0,218.0,8.0,1617,1,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,jma,酸ケ湯,31-1079,890.0,青森県,1983/84,52.0,249.0,407.0,371.0,492.0,293.0,155.0,72.0,2091,0,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,jma,酸ケ湯,31-1079,890.0,青森県,1984/85,0.0,167.0,375.0,522.0,450.0,157.0,56.0,40.0,1767,0,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,jma,酸ケ湯,31-1079,890.0,青森県,1985/86,20.0,181.0,440.0,513.0,445.0,228.0,44.0,25.0,1896,0,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,jma,酸ケ湯,31-1079,890.0,青森県,1986/87,76.0,240.0,306.0,495.0,425.0,297.0,121.0,62.0,2022,0,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,jma,酸ケ湯,31-1079,890.0,青森県,1987/88,0.0,170.0,274.0,500.0,561.0,240.0,64.0,76.0,1885,0,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,jma,酸ケ湯,31-1079,890.0,青森県,1988/89,0,200.0,396.0,353.0,204.0,172.0,85.0,35.0,1445,1,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,jma,酸ケ湯,31-1079,890.0,青森県,1989/90,0.0,88.0,409.0,470.0,120.0,201.0,155.0,32.0,1475,0,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,jma,酸ケ湯,31-1079,890.0,青森県,1990/91,0,45.0,220.0,389.0,413.0,301.0,61.0,36.0,1465,1,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
