resort,station_ja,prec_no,block_no,season,nov,dec,jan,feb,mar,apr,season_total_cm,incomplete,note
hakuba,白馬,48,0396,1980/81,0.0,303.0,181.0,163.0,100.0,7.0,754,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,1981/82,3.0,40.0,41.0,68.0,22.0,0.0,174,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,1982/83,5.0,39.0,230.0,206.0,115.0,0.0,595,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,1983/84,58.0,174.0,224.0,228.0,168.0,26.0,878,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,1984/85,0.0,137.0,190.0,164.0,54.0,0.0,545,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,1985/86,39.0,202.0,207.0,174.0,130.0,19.0,771,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,1986/87,0.0,78.0,236.0,211.0,134.0,0.0,659,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,1987/88,1.0,99.0,178.0,163.0,166.0,16.0,623,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,1988/89,121.0,192.0,145.0,99.0,17.0,0.0,574,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,1989/90,33.0,82.0,231.0,75.0,14.0,11.0,446,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,1990/91,0.0,126.0,287.0,298.0,142.0,7.0,860,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,1991/92,1.0,65.0,209.0,214.0,67.0,0.0,556,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,1992/93,4.0,171.0,190.0,226.0,107.0,21.0,719,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,1993/94,15.0,121.0,224.0,254.0,143.0,6.0,763,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,1994/95,0.0,177.0,266.0,130.0,66.0,0.0,639,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,1995/96,68.0,156.0,207.0,218.0,153.0,32.0,834,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,1996/97,2.0,96.0,271.0,210.0,31.0,0.0,610,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,1997/98,5.0,89.0,240.0,155.0,91.0,13.0,593,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,1998/99,41.0,27.0,205.0,192.0,73.0,1.0,539,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,1999/00,0.0,123.0,83.0,272.0,206.0,18.0,702,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2000/01,0.0,90.0,302.0,132.0,170.0,6.0,700,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2001/02,0.0,144.0,346.0,141.0,109.0,0.0,740,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2002/03,92.0,172.0,232.0,118.0,170.0,0.0,784,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2003/04,0.0,161.0,231.0,207.0,87.0,6.0,692,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2004/05,0.0,71.0,308.0,131.0,191.0,11.0,712,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2005/06,2.0,349.0,156.0,142.0,123.0,11.0,783,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2006/07,0.0,43.0,142.0,107.0,29.0,0.0,321,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2007/08,5.0,264.0,177.0,248.0,114.0,0.0,808,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2008/09,56.0,51.0,195.0,180.0,69.0,1.0,552,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2009/10,0.0,228.0,238.0,151.0,166.0,12.0,795,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2010/11,0.0,90.0,256.0,154.0,175.0,0.0,675,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2011/12,0.0,74.0,253.0,206.0,196.0,31.0,760,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2012/13,18.0,207.0,257.0,232.0,49.0,6.0,769,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2013/14,36.0,176.0,183.0,153.0,129.0,0.0,677,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2014/15,0.0,295.0,206.0,134.0,131.0,0.0,766,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2015/16,16.0,50.0,121.0,94.0,23.0,0.0,304,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2016/17,0.0,30.0,201.0,166.0,87.0,0.0,484,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2017/18,55.0,91.0,152.0,86.0,25.0,0.0,409,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2018/19,0.0,59.0,262.0,119.0,28.0,5.0,473,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2019/20,0.0,5.0,73.0,80.0,61.0,7.0,226,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2020/21,0.0,182.0,205.0,155.0,3.0,0.0,545,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2021/22,15.0,164.0,199.0,194.0,62.0,0.0,634,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2022/23,0.0,148.0,207.0,111.0,10.0,0.0,476,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2023/24,26.0,62.0,134.0,70.0,178.0,0.0,470,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2024/25,27.0,214.0,193.0,173.0,68.0,0.0,675,0,Hakuba 703m; Happo base 760m — unusually well matched
hakuba,白馬,48,0396,2025/26,0.0,82.0,125.0,41.0,0.0,0.0,248,0,Hakuba 703m; Happo base 760m — unusually well matched
