resort,source,station,station_id,station_m,region,season,oct,nov,dec,jan,feb,mar,apr,may,season_total_cm,incomplete,note
kiroro,jma,赤井川,16-1091,148.0,後志,1988/89,0.0,49.0,248.0,209.0,124.0,136.0,23.0,0.0,789,0,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,1989/90,0,23.0,290.0,340.0,128.0,106.0,34.0,0.0,921,1,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,1990/91,0.0,42.0,178.0,272.0,337.0,180.0,36.0,0,1045,1,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,1991/92,0.0,104.0,213.0,199.0,261.0,118.0,9.0,0.0,904,0,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,1992/93,0.0,35.0,227.0,267.0,221.0,137.0,40.0,0.0,927,0,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,1993/94,0.0,78.0,256.0,297.0,218.0,213.0,20.0,0.0,1082,0,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,1994/95,0.0,40.0,239.0,327.0,239.0,104.0,49.0,0.0,998,0,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,1995/96,0.0,71.0,252.0,318.0,239.0,197.0,99.0,0.0,1176,0,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,1996/97,0.0,92.0,284.0,261.0,235.0,148.0,35.0,0.0,1055,0,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,1997/98,4.0,3.0,222.0,283.0,151.0,134.0,7.0,0,804,1,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,1998/99,0,191.0,243.0,281.0,269.0,169.0,43.0,0.0,1196,1,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,1999/00,0.0,91.0,236.0,314.0,263.0,150.0,33.0,0.0,1087,0,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,2000/01,0.0,62.0,250.0,287.0,161.0,162.0,14.0,0.0,936,0,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,2001/02,0.0,59.0,292.0,263.0,155.0,126.0,0.0,0.0,895,0,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,2002/03,0.0,188.0,224.0,227.0,189.0,142.0,12.0,0.0,982,0,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,2003/04,0.0,21.0,181.0,283.0,295.0,136.0,21.0,0.0,937,0,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,2004/05,0.0,13.0,256.0,375.0,234.0,223.0,35.0,2.0,1138,0,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,2005/06,0.0,157.0,350.0,288.0,223.0,209.0,55.0,3.0,1285,0,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,2006/07,0.0,18.0,175.0,207.0,143.0,200.0,42.0,0.0,785,0,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,2007/08,0.0,55.0,195.0,200.0,205.0,49.0,1.0,0.0,705,0,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,2008/09,0.0,91.0,204.0,235.0,228.0,161.0,6.0,0.0,925,0,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,2009/10,0.0,63.0,217.0,248.0,185.0,168.0,41.0,0.0,922,0,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,2010/11,18.0,14.0,288.0,274.0,202.0,178.0,50.0,0.0,1024,0,"Akaigawa 148m; Kiroro base 570m, top 1180m"
kiroro,jma,赤井川,16-1091,148.0,後志,2011/12,0.0,78.0,300.0,218.0,217.0,105.0,48.0,0.0,966,0,"Akaigawa 148m; Kiroro base 570m, top 1180m"
