resort,source,station,station_id,station_m,region,season,oct,nov,dec,jan,feb,mar,apr,may,season_total_cm,incomplete,note
kokusai,jma,小金湯,14-0034,230.0,石狩,1981/82,4.0,143.0,197.0,216.0,157.0,191.0,5.0,0,913,1,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,1982/83,0,47.0,190.0,192.0,229.0,162.0,22.0,0.0,842,1,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,1983/84,23.0,74.0,232.0,198.0,235.0,222.0,90.0,0.0,1074,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,1984/85,7.0,77.0,97.0,310.0,194.0,143.0,51.0,0.0,879,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,1985/86,0,127.0,261.0,212.0,177.0,208.0,80.0,0.0,1065,1,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,1986/87,7.0,167.0,221.0,272.0,185.0,202.0,123.0,0,1177,1,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,1987/88,0.0,67.0,228.0,219.0,257.0,195.0,65.0,0.0,1031,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,1988/89,0.0,154.0,276.0,210.0,159.0,163.0,23.0,0,985,1,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,1989/90,0.0,2.0,355.0,412.0,207.0,238.0,12.0,0.0,1226,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,1990/91,0.0,36.0,202.0,437.0,264.0,270.0,86.0,0,1295,1,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,1991/92,0.0,169.0,288.0,297.0,264.0,226.0,11.0,0.0,1255,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,1992/93,0.0,118.0,223.0,296.0,296.0,220.0,72.0,0.0,1225,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,1993/94,0.0,91.0,254.0,245.0,235.0,244.0,46.0,2.0,1117,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,1994/95,0,0,34.0,273.0,230.0,109.0,40.0,0.0,686,1,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,1995/96,0.0,100.0,268.0,293.0,223.0,263.0,135.0,0.0,1282,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,1996/97,1.0,107.0,214.0,183.0,197.0,173.0,22.0,0.0,897,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,1997/98,7.0,0.0,157.0,195.0,119.0,165.0,10.0,0,653,1,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,1998/99,0,86.0,216.0,205.0,200.0,144.0,37.0,0.0,888,1,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,1999/00,6.0,41.0,125.0,236.0,195.0,190.0,35.0,0.0,828,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2000/01,0.0,88.0,231.0,209.0,134.0,145.0,27.0,0.0,834,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2001/02,0.0,94.0,241.0,136.0,112.0,110.0,0.0,0.0,693,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2002/03,4.0,88.0,172.0,208.0,167.0,144.0,8.0,0.0,791,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2003/04,0.0,19.0,162.0,249.0,211.0,144.0,27.0,0.0,812,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2004/05,1.0,22.0,212.0,268.0,207.0,202.0,54.0,0.0,966,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2005/06,0.0,130.0,229.0,229.0,162.0,167.0,61.0,0.0,978,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2006/07,0.0,35.0,152.0,220.0,163.0,165.0,44.0,0.0,779,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2007/08,0.0,34.0,159.0,184.0,185.0,20.0,0.0,0.0,582,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2008/09,0.0,73.0,128.0,152.0,192.0,103.0,15.0,0.0,663,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2009/10,0.0,14.0,126.0,164.0,84.0,141.0,23.0,0.0,552,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2010/11,33.0,36.0,111.0,113.0,128.0,125.0,18.0,0.0,564,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2011/12,0.0,57.0,225.0,91.0,102.0,114.0,29.0,0.0,618,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2012/13,0.0,88.0,161.0,126.0,180.0,117.0,36.0,0.0,708,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
