resort,station_ja,prec_no,block_no,season,nov,dec,jan,feb,mar,apr,season_total_cm,incomplete,note
lotte-arai,関山,54,0998,1980/81,6.0,251.0,646.0,298.0,160.0,13.0,1374,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,1981/82,22.0,163.0,328.0,385.0,162.0,0.0,1060,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,1982/83,9.0,146.0,454.0,398.0,197.0,0.0,1204,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,1983/84,45.0,456.0,559.0,449.0,302.0,75.0,1886,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,1984/85,4.0,490.0,650.0,208.0,148.0,26.0,1526,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,1985/86,17.0,450.0,457.0,383.0,166.0,68.0,1541,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,1986/87,33.0,182.0,555.0,299.0,187.0,24.0,1280,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,1987/88,40.0,194.0,402.0,466.0,156.0,6.0,1264,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,1988/89,0.0,262.0,166.0,221.0,72.0,0.0,721,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,1989/90,0.0,155.0,570.0,111.0,39.0,0.0,875,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,1990/91,0.0,64.0,480.0,390.0,181.0,6.0,1121,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,1991/92,20.0,284.0,366.0,448.0,180.0,0.0,1298,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,1992/93,57.0,298.0,313.0,470.0,325.0,13.0,1476,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,1993/94,0,0,293.0,320.0,182.0,31.0,826,1,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,1994/95,0.0,259.0,562.0,346.0,195.0,46.0,1408,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,1995/96,12.0,199.0,491.0,368.0,243.0,116.0,1429,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,1996/97,3.0,121.0,457.0,297.0,124.0,0.0,1002,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,1997/98,0.0,101.0,458.0,186.0,136.0,6.0,887,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,1998/99,17.0,100.0,421.0,379.0,112.0,27.0,1056,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,1999/00,1.0,206.0,200.0,432.0,261.0,18.0,1118,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,2000/01,0.0,186.0,524.0,326.0,313.0,39.0,1388,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,2001/02,5.0,318.0,341.0,242.0,85.0,0.0,991,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,2002/03,27.0,313.0,432.0,222.0,198.0,30.0,1222,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,2003/04,0.0,152.0,307.0,322.0,173.0,0.0,954,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,2004/05,0.0,120.0,511.0,396.0,215.0,40.0,1282,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,2005/06,0.0,588.0,454.0,265.0,211.0,48.0,1566,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,2006/07,0.0,152.0,161.0,143.0,94.0,4.0,554,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,2007/08,123.0,182.0,345.0,422.0,115.0,2.0,1189,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,2008/09,15.0,100.0,239.0,192.0,144.0,14.0,704,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,2009/10,0.0,233.0,434.0,244.0,150.0,0.0,1061,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
lotte-arai,関山,54,0998,2010/11,0.0,99.0,564.0,133.0,312.0,0.0,1108,0,"Sekiyama 350m; Lotte Arai base 330m — unusually well matched, but the same station Myoko reads from"
