resort,station_ja,prec_no,block_no,season,nov,dec,jan,feb,mar,apr,season_total_cm,incomplete,note
madarao,飯山,48,0395,1983/84,86.0,315.0,424.0,368.0,209.0,59.0,1461,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,1984/85,2.0,295.0,460.0,151.0,52.0,0.0,960,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,1985/86,3.0,203.0,304.0,278.0,150.0,44.0,982,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,1986/87,5.0,153.0,457.0,324.0,199.0,1.0,1139,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,1987/88,11.0,132.0,238.0,363.0,95.0,7.0,846,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,1988/89,7.0,189.0,132.0,134.0,25.0,0.0,487,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,1989/90,0.0,71.0,361.0,69.0,34.0,11.0,546,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,1990/91,0.0,62.0,375.0,228.0,110.0,0.0,775,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,1991/92,13.0,159.0,262.0,290.0,120.0,0.0,844,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,1992/93,0.0,106.0,187.0,317.0,200.0,9.0,819,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,1993/94,13.0,125.0,269.0,296.0,124.0,11.0,838,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,1994/95,0.0,148.0,400.0,211.0,84.0,1.0,844,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,1995/96,0.0,130.0,282.0,258.0,155.0,45.0,870,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,1996/97,0.0,50.0,297.0,214.0,35.0,0.0,596,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,1997/98,3.0,73.0,300.0,157.0,82.0,9.0,624,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,1998/99,0.0,55.0,402.0,252.0,104.0,6.0,819,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,1999/00,0.0,100.0,157.0,343.0,194.0,10.0,804,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2000/01,0.0,137.0,429.0,279.0,215.0,34.0,1094,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2001/02,0.0,228.0,280.0,178.0,48.0,0.0,734,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2002/03,4.0,229.0,340.0,183.0,188.0,24.0,968,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2003/04,0.0,115.0,271.0,240.0,107.0,0.0,733,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2004/05,0.0,96.0,450.0,296.0,215.0,37.0,1094,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2005/06,1.0,513.0,411.0,253.0,212.0,97.0,1487,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2006/07,0.0,80.0,182.0,68.0,68.0,0.0,398,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2007/08,70.0,112.0,317.0,363.0,102.0,0.0,964,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2008/09,14.0,86.0,200.0,159.0,61.0,4.0,524,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2009/10,0.0,196.0,379.0,209.0,106.0,4.0,894,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2010/11,0.0,38.0,412.0,184.0,298.0,35.0,967,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2011/12,0.0,276.0,505.0,274.0,163.0,81.0,1299,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2012/13,0.0,255.0,357.0,311.0,107.0,1.0,1031,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2013/14,7.0,125.0,249.0,258.0,185.0,0.0,824,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2014/15,0.0,386.0,282.0,170.0,91.0,0.0,929,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2015/16,0.0,50.0,88.0,150.0,37.0,2.0,327,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2016/17,0.0,99.0,324.0,174.0,93.0,2.0,692,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2017/18,6.0,261.0,287.0,149.0,23.0,2.0,728,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2018/19,0.0,178.0,344.0,145.0,100.0,32.0,799,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2019/20,0.0,7.0,53.0,234.0,17.0,2.0,313,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2020/21,0.0,243.0,258.0,200.0,74.0,0.0,775,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2021/22,4.0,214.0,289.0,267.0,33.0,7.0,814,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2022/23,0.0,47.0,236.0,177.0,23.0,0.0,483,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2023/24,3.0,57.0,145.0,101.0,109.0,0.0,415,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2024/25,0.0,163.0,188.0,266.0,57.0,1.0,675,0,Iiyama 313m; Madarao base 1000m
madarao,飯山,48,0395,2025/26,9.0,60.0,319.0,76.0,9.0,0.0,473,0,Iiyama 313m; Madarao base 1000m
