resort,source,station,station_id,station_m,region,season,oct,nov,dec,jan,feb,mar,apr,may,season_total_cm,incomplete,note
minakami,jma,藤原,42-1222,700.0,群馬県,1989/90,0,8.0,206.0,252.0,91.0,163.0,54.0,0,774,1,Fujiwara 700m; Tanigawadake and Hodaira above
minakami,jma,藤原,42-1222,700.0,群馬県,1990/91,0,2.0,146.0,424.0,387.0,125.0,41.0,0,1125,1,Fujiwara 700m; Tanigawadake and Hodaira above
minakami,jma,藤原,42-1222,700.0,群馬県,1991/92,0,21.0,163.0,284.0,317.0,124.0,22.0,9.0,940,1,Fujiwara 700m; Tanigawadake and Hodaira above
minakami,jma,藤原,42-1222,700.0,群馬県,1992/93,0,25.0,299.0,283.0,412.0,191.0,110.0,0.0,1320,1,Fujiwara 700m; Tanigawadake and Hodaira above
minakami,jma,藤原,42-1222,700.0,群馬県,1993/94,0,28.0,166.0,287.0,436.0,146.0,52.0,0.0,1115,1,Fujiwara 700m; Tanigawadake and Hodaira above
minakami,jma,藤原,42-1222,700.0,群馬県,1994/95,0,4.0,329.0,481.0,280.0,174.0,104.0,0.0,1372,1,Fujiwara 700m; Tanigawadake and Hodaira above
minakami,jma,藤原,42-1222,700.0,群馬県,1995/96,0,0.0,483.0,356.0,297.0,243.0,166.0,33.0,1578,1,Fujiwara 700m; Tanigawadake and Hodaira above
minakami,jma,藤原,42-1222,700.0,群馬県,1996/97,0,27.0,182.0,361.0,323.0,127.0,41.0,0,1061,1,Fujiwara 700m; Tanigawadake and Hodaira above
minakami,jma,藤原,42-1222,700.0,群馬県,1997/98,0.0,8.0,125.0,312.0,210.0,203.0,32.0,0,890,1,Fujiwara 700m; Tanigawadake and Hodaira above
minakami,jma,藤原,42-1222,700.0,群馬県,1998/99,0,0.0,101.0,377.0,258.0,138.0,53.0,0.0,927,1,Fujiwara 700m; Tanigawadake and Hodaira above
minakami,jma,藤原,42-1222,700.0,群馬県,1999/00,0.0,24.0,326.0,212.0,481.0,275.0,69.0,2.0,1389,0,Fujiwara 700m; Tanigawadake and Hodaira above
minakami,jma,藤原,42-1222,700.0,群馬県,2000/01,0.0,0.0,279.0,420.0,207.0,196.0,72.0,0.0,1174,0,Fujiwara 700m; Tanigawadake and Hodaira above
minakami,jma,藤原,42-1222,700.0,群馬県,2001/02,0.0,18.0,365.0,408.0,233.0,153.0,33.0,0.0,1210,0,Fujiwara 700m; Tanigawadake and Hodaira above
minakami,jma,藤原,42-1222,700.0,群馬県,2002/03,0.0,203.0,269.0,384.0,157.0,193.0,77.0,1.0,1284,0,Fujiwara 700m; Tanigawadake and Hodaira above
minakami,jma,藤原,42-1222,700.0,群馬県,2003/04,0.0,0.0,242.0,362.0,345.0,132.0,32.0,0.0,1113,0,Fujiwara 700m; Tanigawadake and Hodaira above
minakami,jma,藤原,42-1222,700.0,群馬県,2004/05,0.0,0.0,147.0,527.0,338.0,248.0,148.0,0.0,1408,0,Fujiwara 700m; Tanigawadake and Hodaira above
minakami,jma,藤原,42-1222,700.0,群馬県,2005/06,0.0,106.0,646.0,427.0,199.0,305.0,142.0,20.0,1845,0,Fujiwara 700m; Tanigawadake and Hodaira above
minakami,jma,藤原,42-1222,700.0,群馬県,2006/07,0,15.0,170.0,195.0,193.0,203.0,15.0,0.0,791,1,Fujiwara 700m; Tanigawadake and Hodaira above
minakami,jma,藤原,42-1222,700.0,群馬県,2007/08,0,109.0,218.0,345.0,413.0,216.0,100.0,0.0,1401,1,Fujiwara 700m; Tanigawadake and Hodaira above
