resort,source,station,station_id,station_m,region,season,oct,nov,dec,jan,feb,mar,apr,may,season_total_cm,incomplete,note
myoko,jma,関山,54-0998,350.0,新潟県,1980/81,0,6.0,251.0,646.0,298.0,160.0,13.0,0.0,1374,1,Sekiyama 350m; Akakura base 450m
myoko,jma,関山,54-0998,350.0,新潟県,1981/82,0,22.0,163.0,328.0,385.0,162.0,0.0,0,1060,1,Sekiyama 350m; Akakura base 450m
myoko,jma,関山,54-0998,350.0,新潟県,1982/83,0,9.0,146.0,454.0,398.0,197.0,0.0,0,1204,1,Sekiyama 350m; Akakura base 450m
myoko,jma,関山,54-0998,350.0,新潟県,1983/84,0,45.0,456.0,559.0,449.0,302.0,75.0,0.0,1886,1,Sekiyama 350m; Akakura base 450m
myoko,jma,関山,54-0998,350.0,新潟県,1984/85,0,4.0,490.0,650.0,208.0,148.0,26.0,0,1526,1,Sekiyama 350m; Akakura base 450m
myoko,jma,関山,54-0998,350.0,新潟県,1985/86,0,17.0,450.0,457.0,383.0,166.0,68.0,0,1541,1,Sekiyama 350m; Akakura base 450m
myoko,jma,関山,54-0998,350.0,新潟県,1986/87,0,33.0,182.0,555.0,299.0,187.0,24.0,0,1280,1,Sekiyama 350m; Akakura base 450m
myoko,jma,関山,54-0998,350.0,新潟県,1987/88,0,40.0,194.0,402.0,466.0,156.0,6.0,0,1264,1,Sekiyama 350m; Akakura base 450m
myoko,jma,関山,54-0998,350.0,新潟県,1988/89,0,0.0,262.0,166.0,221.0,72.0,0.0,0,721,1,Sekiyama 350m; Akakura base 450m
myoko,jma,関山,54-0998,350.0,新潟県,1989/90,0,0.0,155.0,570.0,111.0,39.0,0.0,0,875,1,Sekiyama 350m; Akakura base 450m
myoko,jma,関山,54-0998,350.0,新潟県,1990/91,0,0.0,64.0,480.0,390.0,181.0,6.0,0,1121,1,Sekiyama 350m; Akakura base 450m
myoko,jma,関山,54-0998,350.0,新潟県,1991/92,0,20.0,284.0,366.0,448.0,180.0,0.0,0,1298,1,Sekiyama 350m; Akakura base 450m
myoko,jma,関山,54-0998,350.0,新潟県,1992/93,1.0,57.0,298.0,313.0,470.0,325.0,13.0,0,1477,1,Sekiyama 350m; Akakura base 450m
