resort,station_ja,prec_no,block_no,season,nov,dec,jan,feb,mar,apr,season_total_cm,incomplete,note
nasu,那須高原,41,0326,1989/90,4.0,64.0,130.0,75.0,42.0,16.0,331,0,Nasu Kogen 749m
nasu,那須高原,41,0326,1990/91,0.0,83.0,154.0,127.0,75.0,0.0,439,0,Nasu Kogen 749m
nasu,那須高原,41,0326,1991/92,0.0,46.0,99.0,148.0,59.0,0.0,352,0,Nasu Kogen 749m
nasu,那須高原,41,0326,1992/93,0.0,27.0,74.0,29.0,14.0,0.0,144,0,Nasu Kogen 749m
nasu,那須高原,41,0326,1993/94,3.0,58.0,33.0,69.0,17.0,0.0,180,0,Nasu Kogen 749m
nasu,那須高原,41,0326,1994/95,0.0,34.0,67.0,27.0,44.0,4.0,176,0,Nasu Kogen 749m
nasu,那須高原,41,0326,1995/96,0.0,45.0,78.0,59.0,34.0,1.0,217,0,Nasu Kogen 749m
nasu,那須高原,41,0326,1996/97,0.0,21.0,84.0,34.0,22.0,0.0,161,0,Nasu Kogen 749m
nasu,那須高原,41,0326,1997/98,0.0,13.0,116.0,35.0,21.0,15.0,200,0,Nasu Kogen 749m
nasu,那須高原,41,0326,1998/99,0.0,2.0,51.0,46.0,11.0,6.0,116,0,Nasu Kogen 749m
nasu,那須高原,41,0326,1999/00,3.0,36.0,24.0,43.0,87.0,0.0,193,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2000/01,1.0,31.0,148.0,40.0,79.0,0.0,299,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2001/02,0.0,85.0,142.0,31.0,15.0,0.0,273,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2002/03,52.0,108.0,181.0,74.0,126.0,11.0,552,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2003/04,0.0,33.0,62.0,59.0,14.0,0.0,168,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2004/05,0.0,36.0,140.0,147.0,91.0,0.0,414,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2005/06,0.0,187.0,97.0,50.0,8.0,0.0,342,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2006/07,2.0,4.0,16.0,16.0,23.0,2.0,63,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2007/08,24.0,72.0,91.0,131.0,58.0,36.0,412,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2008/09,14.0,47.0,72.0,76.0,14.0,11.0,234,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2009/10,0.0,57.0,158.0,137.0,47.0,49.0,448,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2010/11,0.0,23.0,102.0,106.0,85.0,7.0,323,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2011/12,0.0,48.0,117.0,96.0,97.0,14.0,372,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2012/13,0.0,82.0,152.0,107.0,17.0,24.0,382,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2013/14,1.0,103.0,100.0,168.0,57.0,0.0,429,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2014/15,0.0,130.0,146.0,114.0,41.0,2.0,433,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2015/16,3.0,28.0,123.0,46.0,30.0,1.0,231,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2016/17,9.0,40.0,134.0,110.0,61.0,1.0,355,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2017/18,3.0,86.0,147.0,94.0,44.0,5.0,379,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2018/19,0.0,66.0,79.0,45.0,20.0,26.0,236,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2019/20,4.0,69.0,96.0,116.0,52.0,5.0,342,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2020/21,0.0,44.0,74.0,55.0,2.0,0.0,175,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2021/22,1.0,69.0,146.0,103.0,53.0,0.0,372,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2022/23,0.0,35.0,55.0,54.0,0.0,3.0,147,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2023/24,0.0,20.0,58.0,34.0,57.0,0.0,169,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2024/25,0.0,54.0,66.0,102.0,52.0,16.0,290,0,Nasu Kogen 749m
nasu,那須高原,41,0326,2025/26,0.0,23.0,77.0,18.0,38.0,0.0,156,0,Nasu Kogen 749m
