resort,station_ja,prec_no,block_no,season,nov,dec,jan,feb,mar,apr,season_total_cm,incomplete,note
niseko-annupuri,蘭越,16,0055,1981/82,97.0,165.0,256.0,237.0,134.0,1.0,890,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,1982/83,30.0,167.0,184.0,212.0,146.0,10.0,749,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,1983/84,27.0,231.0,250.0,239.0,169.0,69.0,985,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,1984/85,28.0,147.0,283.0,178.0,144.0,24.0,804,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,1985/86,139.0,294.0,304.0,206.0,109.0,39.0,1091,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,1986/87,57.0,138.0,264.0,212.0,113.0,55.0,839,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,1987/88,46.0,220.0,234.0,331.0,107.0,34.0,972,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,1988/89,21.0,180.0,136.0,128.0,84.0,0.0,549,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,1989/90,10.0,219.0,299.0,92.0,83.0,0.0,703,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,1990/91,30.0,97.0,244.0,264.0,143.0,25.0,803,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,1991/92,50.0,174.0,224.0,211.0,103.0,4.0,766,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,1992/93,43.0,156.0,241.0,186.0,122.0,21.0,769,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,1993/94,54.0,209.0,273.0,231.0,196.0,18.0,981,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,1994/95,31.0,210.0,255.0,169.0,108.0,11.0,784,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,1995/96,53.0,176.0,258.0,230.0,150.0,56.0,923,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,1996/97,75.0,236.0,206.0,168.0,178.0,9.0,872,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,1997/98,0.0,174.0,276.0,156.0,120.0,2.0,728,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,1998/99,118.0,197.0,239.0,229.0,112.0,13.0,908,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,1999/00,68.0,218.0,187.0,213.0,151.0,13.0,850,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,2000/01,48.0,269.0,260.0,185.0,103.0,10.0,875,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,2001/02,47.0,211.0,167.0,165.0,110.0,0.0,700,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,2002/03,110.0,181.0,190.0,150.0,89.0,2.0,722,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,2003/04,14.0,105.0,231.0,187.0,99.0,13.0,649,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,2004/05,18.0,165.0,284.0,217.0,177.0,28.0,889,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,2005/06,106.0,331.0,291.0,158.0,146.0,44.0,1076,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,2006/07,11.0,151.0,159.0,130.0,142.0,3.0,596,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,2007/08,76.0,178.0,232.0,177.0,33.0,0.0,696,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,2008/09,56.0,212.0,182.0,178.0,102.0,4.0,734,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,2009/10,30.0,175.0,259.0,157.0,112.0,11.0,744,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,2010/11,26.0,122.0,236.0,73.0,137.0,5.0,599,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,2011/12,55.0,219.0,184.0,178.0,54.0,38.0,728,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,2012/13,58.0,219.0,216.0,199.0,98.0,18.0,808,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,2013/14,72.0,177.0,203.0,126.0,76.0,16.0,670,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,2014/15,18.0,288.0,159.0,98.0,91.0,4.0,658,0,Rankoshi 40m; west side of the same massif
niseko-annupuri,蘭越,16,0055,2015/16,45.0,143.0,171.0,181.0,79.0,0.0,619,0,Rankoshi 40m; west side of the same massif
