resort,source,station,station_id,station_m,region,season,oct,nov,dec,jan,feb,mar,apr,may,season_total_cm,incomplete,note
niseko,jma,倶知安,16-47433,176.1,後志,1953/54,0,365.0,220.0,262.0,117.0,78.0,4.0,0.0,1046,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1954/55,0.0,77.0,289.0,472.0,215.0,138.0,12.0,0,1203,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1955/56,7.0,59.0,169.0,319.0,193.0,117.0,30.0,0,894,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1956/57,3.0,228.0,481.0,279.0,311.0,163.0,21.0,0,1486,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1957/58,28.0,49.0,242.0,280.0,182.0,191.0,12.0,0,984,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1958/59,0,28.0,117.0,403.0,123.0,56.0,21.0,0,748,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1959/60,0.0,245.0,441.0,437.0,221.0,115.0,47.0,0.0,1506,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1960/61,0.0,119.0,314.0,576.0,206.0,93.0,16.0,0,1324,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1961/62,0.0,93.0,275.0,352.0,278.0,175.0,1.0,0,1174,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1962/63,0.0,274.0,231.0,174.0,219.0,79.0,21.0,0.0,998,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1963/64,0.0,95.0,248.0,279.0,272.0,49.0,9.0,0,952,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1964/65,37.0,74.0,357.0,348.0,372.0,177.0,70.0,0,1435,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1965/66,0,156.0,341.0,459.0,223.0,170.0,1.0,0.0,1350,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1966/67,0,75.0,572.0,443.0,290.0,152.0,6.0,0,1538,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1967/68,0.0,145.0,275.0,500.0,270.0,122.0,0.0,0,1312,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1968/69,1.0,75.0,311.0,601.0,258.0,153.0,13.0,0.0,1412,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1969/70,0.0,196.0,587.0,534.0,341.0,346.0,15.0,0,2019,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1970/71,16.0,193.0,398.0,385.0,119.0,211.0,9.0,0.0,1331,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1971/72,0.0,77.0,375.0,235.0,172.0,62.0,38.0,0.0,959,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1972/73,0.0,95.0,252.0,191.0,288.0,202.0,0.0,0.0,1028,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1973/74,0.0,187.0,437.0,419.0,252.0,129.0,23.0,0.0,1447,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1974/75,0.0,177.0,573.0,438.0,250.0,67.0,5.0,0,1510,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1975/76,0.0,43.0,448.0,467.0,167.0,116.0,22.0,0,1263,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1976/77,3.0,211.0,428.0,579.0,269.0,115.0,12.0,0.0,1617,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1977/78,0.0,40.0,237.0,452.0,325.0,153.0,11.0,0,1218,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1978/79,7.0,16.0,224.0,313.0,243.0,113.0,29.0,0,945,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1979/80,7.0,101.0,221.0,355.0,438.0,150.0,17.0,0,1289,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1980/81,0.0,87.0,275.0,520.0,296.0,208.0,12.0,0,1398,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1981/82,8.0,259.0,212.0,414.0,425.0,161.0,30.0,0,1509,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1982/83,0.0,39.0,353.0,363.0,357.0,130.0,0.0,0,1242,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1983/84,28.0,90.0,305.0,413.0,352.0,211.0,47.0,0,1446,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1984/85,0.0,47.0,183.0,413.0,228.0,136.0,2.0,0.0,1009,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1985/86,0.0,243.0,415.0,438.0,346.0,66.0,10.0,0,1518,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1986/87,6.0,141.0,171.0,438.0,307.0,121.0,88.0,0.0,1272,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1987/88,0.0,109.0,310.0,475.0,528.0,129.0,5.0,0.0,1556,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1988/89,0.0,101.0,329.0,151.0,135.0,70.0,6.0,0.0,792,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1989/90,2.0,46.0,327.0,581.0,104.0,74.0,26.0,0,1160,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1990/91,0,71.0,217.0,327.0,261.0,150.0,5.0,0.0,1031,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1991/92,0.0,146.0,345.0,265.0,286.0,55.0,1.0,0.0,1098,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1992/93,0.0,72.0,312.0,254.0,298.0,85.0,14.0,0,1035,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1993/94,0.0,74.0,349.0,398.0,233.0,253.0,4.0,0,1311,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1994/95,0.0,131.0,413.0,382.0,161.0,57.0,15.0,0,1159,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1995/96,0.0,105.0,322.0,458.0,350.0,119.0,43.0,0,1397,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1996/97,4.0,138.0,283.0,264.0,250.0,173.0,6.0,0.0,1118,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1997/98,20.0,2.0,224.0,452.0,187.0,136.0,2.0,0,1023,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1998/99,0.0,232.0,380.0,422.0,333.0,113.0,4.0,0,1484,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,1999/00,3.0,130.0,238.0,303.0,289.0,149.0,12.0,0,1124,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2000/01,0.0,126.0,357.0,387.0,268.0,78.0,1.0,0,1217,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2001/02,0,114.0,420.0,228.0,196.0,93.0,0.0,0,1051,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2002/03,0.0,258.0,433.0,299.0,259.0,78.0,1.0,0.0,1328,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2003/04,0.0,25.0,185.0,307.0,274.0,142.0,14.0,0,947,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2004/05,13.0,38.0,336.0,448.0,332.0,241.0,2.0,0.0,1410,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2005/06,0,138.0,362.0,312.0,196.0,168.0,27.0,0,1203,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2006/07,0,63.0,206.0,234.0,158.0,160.0,18.0,0,839,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2007/08,0,101.0,184.0,336.0,228.0,38.0,0,0,887,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2008/09,0,80.0,246.0,286.0,235.0,126.0,1.0,0,974,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2009/10,1.0,102.0,246.0,331.0,184.0,214.0,25.0,0,1103,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2010/11,7.0,40.0,201.0,420.0,142.0,210.0,24.0,0,1044,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2011/12,0,82.0,349.0,290.0,216.0,79.0,30.0,0,1046,1,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2012/13,0,98.0,306.0,268.0,228.0,124.0,27.0,0,1051,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2013/14,0,99.0,258.0,317.0,130.0,118.0,24.0,0,946,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2014/15,0,41.0,387.0,230.0,167.0,141.0,3.0,0,969,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2015/16,0,35.0,195.0,258.0,210.0,125.0,18.0,0,841,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2016/17,2.0,171.0,235.0,160.0,173.0,90.0,4.0,0,835,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2017/18,0,169.0,324.0,259.0,202.0,59.0,25.0,0,1038,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2018/19,0,104.0,310.0,253.0,141.0,59.0,16.0,0,883,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2019/20,0,86.0,217.0,148.0,158.0,75.0,1.0,0,685,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2020/21,0,61.0,303.0,249.0,247.0,89.0,15.0,0,964,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2021/22,0,58.0,262.0,247.0,213.0,84.0,5.0,0,869,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2022/23,0,28.0,289.0,275.0,233.0,25.0,0,0,850,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2023/24,0,125.0,191.0,241.0,134.0,90.0,2.0,0,783,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2024/25,0,37.0,347.0,159.0,204.0,86.0,2.0,0,835,0,Valley town station below the Hirafu base
niseko,jma,倶知安,16-47433,176.1,後志,2025/26,1.0,45.0,208.0,311.0,134.0,53.0,0,0,752,0,Valley town station below the Hirafu base
