resort,station_ja,station_en,prec_no,block_no,season,nov,dec,jan,feb,mar,apr,season_total_cm,jma_cold_year_total_cm,note
niseko,倶知安,Kutchan,16,47433,1953/54,365,220,262,117,78,4,1046,1046,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1954/55,77,289,472,215,138,12,1203,1203,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1955/56,59,169,319,193,117,30,887,894,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1956/57,228,481,279,311,163,21,1483,1486,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1957/58,49,242,280,182,191,12,956,984,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1958/59,28,117,403,123,56,21,748,748,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1959/60,245,441,437,221,115,47,1506,1506,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1960/61,119,314,576,206,93,16,1324,1324,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1961/62,93,275,352,278,175,1,1174,1174,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1962/63,274,231,174,219,79,21,998,998,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1963/64,95,248,279,272,49,9,952,952,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1964/65,74,357,348,372,177,70,1398,1435,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1965/66,156,341,459,223,170,1,1350,1350,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1966/67,75,572,443,290,152,6,1538,1538,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1967/68,145,275,500,270,122,0,1312,1312,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1968/69,75,311,601,258,153,13,1411,1412,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1969/70,196,587,534,341,346,15,2019,2019,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1970/71,193,398,385,119,211,9,1315,1331,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1971/72,77,375,235,172,62,38,959,959,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1972/73,95,252,191,288,202,0,1028,1028,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1973/74,187,437,419,252,129,23,1447,1447,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1974/75,177,573,438,250,67,5,1510,1510,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1975/76,43,448,467,167,116,22,1263,1263,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1976/77,211,428,579,269,115,12,1614,1617,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1977/78,40,237,452,325,153,11,1218,1218,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1978/79,16,224,313,243,113,29,938,945,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1979/80,101,221,355,438,150,17,1282,1289,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1980/81,87,275,520,296,208,12,1398,1398,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1981/82,259,212,414,425,161,30,1501,1509,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1982/83,39,353,363,357,130,0,1242,1242,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1983/84,90,305,413,352,211,47,1418,1446,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1984/85,47,183,413,228,136,2,1009,1009,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1985/86,243,415,438,346,66,10,1518,1518,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1986/87,141,171,438,307,121,88,1266,1272,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1987/88,109,310,475,528,129,5,1556,1556,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1988/89,101,329,151,135,70,6,792,792,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1989/90,46,327,581,104,74,26,1158,1160,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1990/91,71,217,327,261,150,5,1031,1031,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1991/92,146,345,265,286,55,1,1098,1098,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1992/93,72,312,254,298,85,14,1035,1035,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1993/94,74,349,398,233,253,4,1311,1311,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1994/95,131,413,382,161,57,15,1159,1159,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1995/96,105,322,458,350,119,43,1397,1397,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1996/97,138,283,264,250,173,6,1114,1118,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1997/98,2,224,452,187,136,2,1003,1023,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1998/99,232,380,422,333,113,4,1484,1484,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,1999/00,130,238,303,289,149,12,1121,1124,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2000/01,126,357,387,268,78,1,1217,1217,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2001/02,114,420,228,196,93,0,1051,1051,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2002/03,258,433,299,259,78,1,1328,1328,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2003/04,25,185,307,274,142,14,947,947,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2004/05,38,336,448,332,241,2,1397,1410,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2005/06,138,362,312,196,168,27,1203,1203,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2006/07,63,206,234,158,160,18,839,839,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2007/08,101,184,336,228,38,0,887,887,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2008/09,80,246,286,235,126,1,974,974,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2009/10,102,246,331,184,214,25,1102,1103,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2010/11,40,201,420,142,210,24,1037,1044,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2011/12,82,349,290,216,79,30,1046,1046,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2012/13,98,306,268,228,124,27,1051,1051,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2013/14,99,258,317,130,118,24,946,946,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2014/15,41,387,230,167,141,3,969,969,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2015/16,35,195,258,210,125,18,841,841,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2016/17,171,235,160,173,90,4,833,835,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2017/18,169,324,259,202,59,25,1038,1038,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2018/19,104,310,253,141,59,16,883,883,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2019/20,86,217,148,158,75,1,685,685,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2020/21,61,303,249,247,89,15,964,964,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2021/22,58,262,247,213,84,5,869,869,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2022/23,28,289,275,233,25,0,850,850,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2023/24,125,191,241,134,90,2,783,783,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2024/25,37,347,159,204,86,2,835,835,Valley town station below the Hirafu base
niseko,倶知安,Kutchan,16,47433,2025/26,45,208,311,134,53,0,751,752,Valley town station below the Hirafu base
