resort,station_ja,prec_no,block_no,season,nov,dec,jan,feb,mar,apr,season_total_cm,incomplete,note
nukabira,ぬかびら源泉郷,20,0103,1984/85,43.0,65.0,161.0,113.0,94.0,25.0,501,0,ぬかびら源泉郷 station at 540m; on site at the resort
nukabira,ぬかびら源泉郷,20,0103,1985/86,19.0,124.0,120.0,88.0,138.0,49.0,538,0,ぬかびら源泉郷 station at 540m; on site at the resort
nukabira,ぬかびら源泉郷,20,0103,1986/87,45.0,142.0,101.0,94.0,82.0,75.0,539,0,ぬかびら源泉郷 station at 540m; on site at the resort
nukabira,ぬかびら源泉郷,20,0103,1987/88,49.0,121.0,84.0,66.0,157.0,48.0,525,0,ぬかびら源泉郷 station at 540m; on site at the resort
nukabira,ぬかびら源泉郷,20,0103,1988/89,132.0,94.0,111.0,76.0,141.0,21.0,575,0,ぬかびら源泉郷 station at 540m; on site at the resort
nukabira,ぬかびら源泉郷,20,0103,1989/90,5.0,151.0,90.0,69.0,63.0,46.0,424,0,ぬかびら源泉郷 station at 540m; on site at the resort
nukabira,ぬかびら源泉郷,20,0103,1990/91,0.0,40.0,69.0,139.0,97.0,15.0,360,0,ぬかびら源泉郷 station at 540m; on site at the resort
nukabira,ぬかびら源泉郷,20,0103,1991/92,1.0,53.0,114.0,111.0,77.0,17.0,373,0,ぬかびら源泉郷 station at 540m; on site at the resort
nukabira,ぬかびら源泉郷,20,0103,1992/93,30.0,97.0,170.0,89.0,100.0,83.0,569,0,ぬかびら源泉郷 station at 540m; on site at the resort
nukabira,ぬかびら源泉郷,20,0103,1993/94,52.0,163.0,111.0,108.0,164.0,56.0,654,0,ぬかびら源泉郷 station at 540m; on site at the resort
nukabira,ぬかびら源泉郷,20,0103,1994/95,26.0,80.0,145.0,86.0,109.0,96.0,542,0,ぬかびら源泉郷 station at 540m; on site at the resort
nukabira,ぬかびら源泉郷,20,0103,1995/96,30.0,113.0,136.0,114.0,139.0,130.0,662,0,ぬかびら源泉郷 station at 540m; on site at the resort
nukabira,ぬかびら源泉郷,20,0103,1996/97,95.0,109.0,128.0,126.0,98.0,39.0,595,0,ぬかびら源泉郷 station at 540m; on site at the resort
nukabira,ぬかびら源泉郷,20,0103,1997/98,17.0,96.0,101.0,78.0,108.0,12.0,412,0,ぬかびら源泉郷 station at 540m; on site at the resort
nukabira,ぬかびら源泉郷,20,0103,1998/99,77.0,140.0,113.0,71.0,87.0,33.0,521,0,ぬかびら源泉郷 station at 540m; on site at the resort
