resort,station_ja,prec_no,block_no,season,nov,dec,jan,feb,mar,apr,season_total_cm,incomplete,note
racey,夕張,15,0049,1979/80,3.0,3.0,76.0,71.0,1.0,66.0,220,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,1980/81,0,4.0,3.0,3.0,0,0,10,1,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,1981/82,184.0,167.0,242.0,163.0,132.0,1.0,889,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,1982/83,71.0,202.0,269.0,202.0,95.0,12.0,851,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,1983/84,62.0,183.0,239.0,236.0,174.0,78.0,972,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,1984/85,174.0,174.0,186.0,152.0,126.0,34.0,846,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,1985/86,46.0,267.0,289.0,151.0,144.0,59.0,956,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,1986/87,175.0,221.0,266.0,269.0,163.0,150.0,1244,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,1987/88,129.0,216.0,228.0,298.0,113.0,61.0,1045,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,1988/89,94.0,261.0,226.0,103.0,142.0,21.0,847,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,1989/90,19.0,288.0,250.0,119.0,72.0,0.0,748,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,1990/91,0.0,85.0,176.0,188.0,181.0,29.0,659,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,1991/92,109.0,262.0,238.0,282.0,204.0,20.0,1115,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,1992/93,60.0,265.0,351.0,280.0,118.0,73.0,1147,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,1993/94,39.0,278.0,361.0,234.0,193.0,22.0,1127,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,1994/95,88.0,253.0,197.0,95.0,80.0,23.0,736,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,1995/96,81.0,255.0,328.0,121.0,178.0,144.0,1107,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,1996/97,91.0,212.0,138.0,204.0,210.0,82.0,937,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,1997/98,2.0,252.0,237.0,147.0,93.0,11.0,742,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,1998/99,147.0,252.0,259.0,197.0,213.0,41.0,1109,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,1999/00,24.0,181.0,195.0,142.0,267.0,34.0,843,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2000/01,186.0,274.0,139.0,152.0,97.0,17.0,865,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2001/02,49.0,301.0,161.0,130.0,91.0,3.0,735,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2002/03,180.0,244.0,224.0,87.0,96.0,4.0,835,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2003/04,19.0,176.0,253.0,283.0,135.0,44.0,910,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2004/05,87.0,261.0,191.0,205.0,187.0,33.0,964,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2005/06,73.0,202.0,302.0,125.0,158.0,83.0,943,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2006/07,36.0,205.0,261.0,164.0,117.0,50.0,833,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2007/08,142.0,194.0,263.0,219.0,35.0,1.0,854,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2008/09,95.0,205.0,144.0,190.0,111.0,3.0,748,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2009/10,94.0,168.0,239.0,138.0,146.0,47.0,832,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2010/11,6.0,79.0,324.0,173.0,142.0,43.0,767,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2011/12,97.0,320.0,247.0,231.0,142.0,57.0,1094,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2012/13,120.0,245.0,178.0,179.0,183.0,37.0,942,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2013/14,56.0,223.0,249.0,90.0,91.0,39.0,748,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2014/15,5.0,248.0,232.0,109.0,115.0,25.0,734,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2015/16,49.0,174.0,164.0,152.0,53.0,0.0,592,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2016/17,186.0,193.0,99.0,128.0,78.0,9.0,693,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2017/18,86.0,193.0,219.0,164.0,105.0,19.0,786,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2018/19,124.0,313.0,225.0,168.0,58.0,31.0,919,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2019/20,103.0,184.0,167.0,179.0,93.0,10.0,736,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2020/21,72.0,297.0,160.0,203.0,70.0,12.0,814,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2021/22,29.0,171.0,218.0,205.0,62.0,20.0,705,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2022/23,19.0,159.0,300.0,177.0,33.0,4.0,692,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2023/24,68.0,176.0,133.0,146.0,73.0,12.0,608,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2024/25,70.0,245.0,156.0,151.0,110.0,2.0,734,0,夕張 station at 293m; resort elevations not yet filled in
racey,夕張,15,0049,2025/26,131.0,170.0,155.0,120.0,64.0,3.0,643,0,夕張 station at 293m; resort elevations not yet filled in
