resort,source,station,station_id,station_m,region,season,oct,nov,dec,jan,feb,mar,apr,may,season_total_cm,incomplete,note
rusutsu,jma,喜茂別,16-0060,264.0,後志,1981/82,0.0,152.0,177.0,278.0,205.0,173.0,2.0,0,987,1,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,1982/83,0,58.0,255.0,297.0,238.0,169.0,39.0,0.0,1056,1,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,1983/84,14.0,85.0,248.0,283.0,243.0,222.0,100.0,1.0,1196,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,1984/85,7.0,58.0,151.0,329.0,243.0,163.0,58.0,0.0,1009,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,1985/86,0.0,190.0,315.0,246.0,218.0,154.0,79.0,0.0,1202,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,1986/87,0.0,143.0,231.0,279.0,248.0,183.0,158.0,18.0,1260,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,1987/88,0.0,116.0,261.0,305.0,281.0,179.0,100.0,0.0,1242,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,1988/89,0.0,198.0,319.0,212.0,158.0,163.0,36.0,0.0,1086,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,1989/90,0.0,60.0,402.0,429.0,224.0,191.0,106.0,0.0,1412,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,1990/91,0.0,27.0,212.0,314.0,296.0,211.0,60.0,0,1120,1,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,1991/92,0.0,216.0,317.0,286.0,229.0,171.0,28.0,0,1247,1,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,1992/93,0.0,77.0,326.0,310.0,282.0,154.0,77.0,0.0,1226,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,1993/94,0.0,133.0,333.0,320.0,295.0,286.0,48.0,1.0,1416,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,1994/95,0.0,96.0,311.0,294.0,201.0,131.0,90.0,0.0,1123,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,1995/96,0.0,181.0,324.0,336.0,225.0,204.0,125.0,1.0,1396,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,1996/97,6.0,199.0,230.0,232.0,218.0,192.0,36.0,0.0,1113,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,1997/98,31.0,6.0,207.0,233.0,153.0,153.0,10.0,0,793,1,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,1998/99,0,193.0,291.0,285.0,241.0,197.0,27.0,0.0,1234,1,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,1999/00,5.0,75.0,250.0,267.0,205.0,195.0,36.0,0.0,1033,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,2000/01,0.0,114.0,238.0,204.0,214.0,138.0,16.0,0.0,924,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,2001/02,0.0,93.0,306.0,204.0,181.0,111.0,2.0,0.0,897,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,2002/03,2.0,160.0,243.0,224.0,183.0,142.0,6.0,0.0,960,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,2003/04,0.0,51.0,208.0,268.0,234.0,165.0,26.0,0.0,952,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,2004/05,18.0,46.0,255.0,292.0,260.0,189.0,35.0,0.0,1095,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,2005/06,0.0,114.0,305.0,285.0,184.0,189.0,54.0,0.0,1131,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,2006/07,0.0,31.0,236.0,282.0,244.0,170.0,48.0,0.0,1011,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,2007/08,0.0,111.0,184.0,258.0,240.0,41.0,0.0,0.0,834,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,2008/09,0.0,70.0,190.0,140.0,193.0,112.0,4.0,0.0,709,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,2009/10,0.0,53.0,182.0,226.0,111.0,142.0,24.0,0.0,738,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,2010/11,16.0,41.0,115.0,264.0,124.0,138.0,22.0,0.0,720,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,2011/12,0.0,81.0,279.0,145.0,154.0,101.0,44.0,0.0,804,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,2012/13,0.0,110.0,224.0,159.0,175.0,127.0,29.0,0.0,824,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,2013/14,0.0,61.0,200.0,239.0,101.0,112.0,23.0,0.0,736,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,2014/15,8.0,36.0,275.0,176.0,134.0,126.0,11.0,0.0,766,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,2015/16,0.0,43.0,193.0,181.0,177.0,92.0,16.0,0.0,702,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,2016/17,4.0,107.0,206.0,134.0,111.0,76.0,5.0,0.0,643,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,2017/18,0.0,93.0,240.0,209.0,151.0,61.0,21.0,0.0,775,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,2018/19,0.0,92.0,253.0,225.0,125.0,52.0,22.0,0.0,769,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,2019/20,0.0,99.0,181.0,148.0,140.0,118.0,10.0,0.0,696,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,2020/21,0.0,52.0,208.0,174.0,168.0,86.0,13.0,0.0,701,0,Kimobetsu 264m; Rusutsu base ~400m
rusutsu,jma,喜茂別,16-0060,264.0,後志,2021/22,0.0,49.0,197.0,220.0,172.0,91.0,9.0,0.0,738,0,Kimobetsu 264m; Rusutsu base ~400m
