resort,source,station,station_id,station_m,region,season,oct,nov,dec,jan,feb,mar,apr,may,season_total_cm,incomplete,note
sahoro,jma,新得,20-0113,178.0,十勝,1984/85,0.0,38.0,59.0,150.0,147.0,128.0,77.0,0.0,599,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,1985/86,0.0,43.0,99.0,91.0,66.0,164.0,128.0,1.0,592,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,1986/87,0.0,45.0,153.0,137.0,110.0,164.0,42.0,0.0,651,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,1987/88,1.0,55.0,165.0,120.0,99.0,224.0,35.0,0.0,699,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,1988/89,0.0,78.0,131.0,165.0,221.0,285.0,1.0,10.0,891,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,1989/90,0.0,1.0,159.0,155.0,120.0,113.0,1.0,0.0,549,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,1990/91,0.0,7.0,52.0,235.0,220.0,216.0,1.0,0.0,731,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,1991/92,0.0,14.0,58.0,158.0,163.0,118.0,22.0,0.0,533,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,1992/93,0.0,10.0,109.0,215.0,193.0,254.0,23.0,1.0,805,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,1993/94,0,30.0,238.0,174.0,167.0,294.0,74.0,0.0,977,1,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,1994/95,0,90.0,206.0,200.0,196.0,257.0,66.0,0.0,1015,1,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,1995/96,3.0,74.0,150.0,223.0,159.0,264.0,99.0,34.0,1006,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,1996/97,4.0,85.0,131.0,166.0,132.0,102.0,3.0,0.0,623,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,1997/98,5.0,4.0,99.0,149.0,84.0,104.0,3.0,0.0,448,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,1998/99,0.0,0.0,90.0,116.0,128.0,137.0,32.0,0.0,503,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,1999/00,0,0.0,128.0,195.0,102.0,181.0,80.0,0.0,686,1,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,2000/01,0,73.0,160.0,95.0,86.0,119.0,3.0,0.0,536,1,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,2001/02,0,12.0,83.0,133.0,70.0,56.0,0.0,0.0,354,1,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,2002/03,0.0,28.0,93.0,189.0,145.0,155.0,16.0,0.0,626,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,2003/04,0,0.0,114.0,153.0,166.0,86.0,25.0,0.0,544,1,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,2004/05,0.0,0.0,162.0,106.0,102.0,134.0,9.0,0.0,513,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,2005/06,0.0,33.0,95.0,45.0,105.0,181.0,34.0,0.0,493,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,2006/07,0.0,0.0,21.0,88.0,80.0,71.0,39.0,0.0,299,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,2007/08,0.0,24.0,67.0,36.0,56.0,11.0,0.0,0.0,194,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,2008/09,0.0,18.0,101.0,137.0,139.0,121.0,24.0,2.0,542,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,2009/10,0.0,12.0,169.0,115.0,107.0,144.0,46.0,0.0,593,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,2010/11,0.0,14.0,122.0,63.0,62.0,51.0,0.0,0.0,312,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,2011/12,0.0,23.0,119.0,60.0,130.0,116.0,77.0,30.0,555,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,2012/13,0.0,46.0,112.0,68.0,70.0,109.0,4.0,10.0,419,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,2013/14,9.0,14.0,55.0,95.0,51.0,89.0,1.0,0.0,314,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,2014/15,0.0,0.0,120.0,77.0,80.0,112.0,0.0,3.0,392,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,2015/16,3.0,56.0,53.0,62.0,127.0,26.0,18.0,0.0,345,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,2016/17,0.0,45.0,118.0,86.0,44.0,21.0,23.0,0.0,337,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,2017/18,0.0,50.0,95.0,89.0,65.0,100.0,14.0,0.0,413,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,2018/19,0.0,20.0,43.0,59.0,46.0,15.0,17.0,0.0,200,0,Shintoku 177m; Sahoro base 480m
sahoro,jma,新得,20-0113,178.0,十勝,2019/20,0.0,25.0,70.0,50.0,80.0,46.0,15.0,0.0,286,0,Shintoku 177m; Sahoro base 480m
