resort,source,station,station_id,station_m,region,season,oct,nov,dec,jan,feb,mar,apr,may,season_total_cm,incomplete,note
sounkyo,jma,層雲峡,12-1049,540.0,上川,1984/85,21.0,170.0,154.0,145.0,227.0,150.0,35.0,0,902,1,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,1985/86,0.0,139.0,185.0,126.0,105.0,144.0,104.0,0.0,803,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,1986/87,41.0,227.0,196.0,172.0,156.0,204.0,138.0,11.0,1145,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,1987/88,5.0,121.0,238.0,196.0,114.0,200.0,60.0,3.0,937,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,1988/89,84.0,198.0,216.0,178.0,140.0,153.0,74.0,0,1043,1,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,1989/90,8.0,58.0,224.0,152.0,136.0,126.0,59.0,0.0,763,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,1990/91,0.0,17.0,160.0,132.0,134.0,184.0,40.0,0,667,1,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,1991/92,4.0,175.0,156.0,175.0,218.0,136.0,39.0,0.0,903,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,1992/93,0.0,128.0,180.0,190.0,146.0,144.0,125.0,2.0,915,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,1993/94,0,161.0,245.0,177.0,217.0,221.0,123.0,7.0,1151,1,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,1994/95,0,88.0,218.0,186.0,150.0,98.0,96.0,0.0,836,1,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,1995/96,0,166.0,225.0,239.0,96.0,165.0,119.0,0.0,1010,1,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,1996/97,31.0,238.0,201.0,175.0,171.0,208.0,130.0,0.0,1154,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,1997/98,22.0,9.0,198.0,175.0,126.0,196.0,27.0,0,753,1,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,1998/99,0.0,207.0,244.0,172.0,196.0,191.0,73.0,0.0,1083,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,1999/00,45.0,101.0,218.0,159.0,114.0,243.0,186.0,2.0,1068,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2000/01,25.0,237.0,255.0,155.0,146.0,221.0,92.0,0.0,1131,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2001/02,0.0,103.0,197.0,183.0,197.0,172.0,28.0,2.0,882,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2002/03,0.0,269.0,166.0,186.0,96.0,119.0,48.0,0.0,884,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2003/04,0.0,57.0,185.0,185.0,213.0,179.0,136.0,2.0,957,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2004/05,29.0,127.0,250.0,183.0,129.0,183.0,124.0,17.0,1042,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2005/06,0.0,124.0,284.0,141.0,192.0,255.0,93.0,6.0,1095,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2006/07,0.0,89.0,199.0,163.0,189.0,158.0,125.0,0.0,923,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2007/08,3.0,161.0,177.0,138.0,175.0,77.0,33.0,0.0,764,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2008/09,0.0,166.0,152.0,158.0,173.0,193.0,34.0,0.0,876,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2009/10,0.0,112.0,122.0,202.0,130.0,198.0,94.0,0.0,858,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2010/11,18.0,35.0,153.0,101.0,136.0,127.0,90.0,8.0,668,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2011/12,0.0,90.0,220.0,72.0,126.0,150.0,84.0,0.0,742,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2012/13,0.0,137.0,221.0,121.0,122.0,252.0,108.0,27.0,988,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2013/14,11.0,68.0,214.0,160.0,99.0,94.0,77.0,0.0,723,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2014/15,14.0,65.0,225.0,136.0,126.0,105.0,25.0,0.0,696,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2015/16,27.0,96.0,164.0,213.0,179.0,102.0,54.0,0.0,835,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2016/17,57.0,221.0,197.0,118.0,141.0,83.0,58.0,0.0,875,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2017/18,28.0,209.0,198.0,163.0,121.0,117.0,32.0,0.0,868,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2018/19,0.0,94.0,189.0,202.0,111.0,125.0,57.0,0.0,778,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2019/20,0.0,160.0,198.0,122.0,139.0,117.0,38.0,0.0,774,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2020/21,0.0,99.0,205.0,136.0,153.0,101.0,38.0,22.0,754,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2021/22,1.0,76.0,180.0,196.0,154.0,143.0,24.0,0.0,774,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2022/23,0.0,45.0,300.0,101.0,116.0,77.0,29.0,0.0,668,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2023/24,0.0,116.0,144.0,167.0,88.0,131.0,24.0,0.0,670,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2024/25,0.0,89.0,196.0,115.0,171.0,137.0,17.0,0.0,725,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
sounkyo,jma,層雲峡,12-1049,540.0,上川,2025/26,27.0,150.0,227.0,119.0,139.0,99.0,24.0,1.0,786,0,層雲峡 station at 540m; on site at the Kurodake ropeway base
