resort,source,station,station_id,station_m,region,season,oct,nov,dec,jan,feb,mar,apr,may,season_total_cm,incomplete,note
tokachi-dake,jma,美瑛,12-1052,250.0,上川,1983/84,23.0,40.0,135.0,169.0,120.0,120.0,34.0,0,641,1,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,1984/85,0.0,120.0,52.0,158.0,166.0,142.0,13.0,0.0,651,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,1985/86,0.0,138.0,231.0,181.0,169.0,161.0,60.0,0,940,1,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,1986/87,11.0,210.0,232.0,195.0,155.0,210.0,76.0,0,1089,1,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,1987/88,0.0,95.0,187.0,193.0,129.0,131.0,38.0,0.0,773,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,1988/89,0.0,130.0,214.0,237.0,135.0,135.0,1.0,0,852,1,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,1989/90,0.0,19.0,237.0,180.0,101.0,72.0,16.0,0.0,625,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,1990/91,0.0,9.0,154.0,158.0,172.0,216.0,9.0,0,718,1,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,1991/92,0.0,154.0,159.0,222.0,219.0,154.0,8.0,0.0,916,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,1992/93,0.0,66.0,262.0,258.0,213.0,150.0,23.0,0.0,972,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,1993/94,0,120.0,172.0,295.0,235.0,217.0,56.0,0.0,1095,1,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,1994/95,0,47.0,245.0,151.0,107.0,87.0,10.0,0.0,647,1,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,1995/96,0,34.0,168.0,218.0,107.0,135.0,54.0,0.0,716,1,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,1996/97,15.0,116.0,184.0,163.0,126.0,122.0,12.0,0.0,738,0,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
tokachi-dake,jma,美瑛,12-1052,250.0,上川,1997/98,14.0,0.0,161.0,165.0,116.0,127.0,18.0,0,601,1,美瑛 station at 250m; nearest snow-recording station; the resort sits well above
