resort,source,station,station_id,station_m,region,season,oct,nov,dec,jan,feb,mar,apr,may,season_total_cm,incomplete,note
tomamu,jma,占冠,12-1189,332.0,上川,1982/83,0,74.0,237.0,242.0,224.0,129.0,31.0,0.0,937,1,Shimukappu 332m; Tomamu base 545m
tomamu,jma,占冠,12-1189,332.0,上川,1983/84,22.0,64.0,204.0,183.0,136.0,174.0,68.0,0.0,851,0,Shimukappu 332m; Tomamu base 545m
tomamu,jma,占冠,12-1189,332.0,上川,1984/85,0.0,194.0,155.0,271.0,201.0,200.0,52.0,0.0,1073,0,Shimukappu 332m; Tomamu base 545m
tomamu,jma,占冠,12-1189,332.0,上川,1985/86,0.0,81.0,274.0,231.0,228.0,250.0,149.0,0.0,1213,0,Shimukappu 332m; Tomamu base 545m
tomamu,jma,占冠,12-1189,332.0,上川,1986/87,0.0,203.0,300.0,234.0,247.0,212.0,154.0,0,1350,1,Shimukappu 332m; Tomamu base 545m
tomamu,jma,占冠,12-1189,332.0,上川,1987/88,0.0,131.0,211.0,195.0,233.0,227.0,35.0,0.0,1032,0,Shimukappu 332m; Tomamu base 545m
tomamu,jma,占冠,12-1189,332.0,上川,1988/89,0.0,64.0,309.0,396.0,273.0,171.0,30.0,0,1243,1,Shimukappu 332m; Tomamu base 545m
tomamu,jma,占冠,12-1189,332.0,上川,1989/90,0.0,4.0,233.0,221.0,153.0,120.0,14.0,0.0,745,0,Shimukappu 332m; Tomamu base 545m
tomamu,jma,占冠,12-1189,332.0,上川,1990/91,0.0,10.0,68.0,167.0,174.0,141.0,12.0,0.0,572,0,Shimukappu 332m; Tomamu base 545m
tomamu,jma,占冠,12-1189,332.0,上川,1991/92,0.0,70.0,96.0,178.0,165.0,122.0,47.0,0.0,678,0,Shimukappu 332m; Tomamu base 545m
tomamu,jma,占冠,12-1189,332.0,上川,1992/93,0.0,63.0,165.0,192.0,160.0,88.0,26.0,0.0,694,0,Shimukappu 332m; Tomamu base 545m
