resort,station_ja,prec_no,block_no,season,nov,dec,jan,feb,mar,apr,season_total_cm,incomplete,note
zao,山形,35,47588,1953/54,12.0,27.0,75.0,13.0,63.0,0,190,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1954/55,0.0,95.0,97.0,75.0,14.0,5.0,286,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1955/56,0.0,47.0,160.0,112.0,34.0,21.0,374,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1956/57,10.0,107.0,33.0,115.0,66.0,8.0,339,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1957/58,0.0,5.0,102.0,66.0,43.0,0.0,216,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1958/59,0.0,10.0,91.0,6.0,8.0,0.0,115,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1959/60,0.0,61.0,200.0,49.0,10.0,1.0,321,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1960/61,12.0,83.0,128.0,160.0,13.0,0.0,396,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1961/62,0.0,105.0,127.0,114.0,33.0,0.0,379,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1962/63,1.0,32.0,219.0,80.0,52.0,0.0,384,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1963/64,3.0,31.0,56.0,102.0,11.0,0.0,203,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1964/65,3.0,49.0,80.0,103.0,61.0,31.0,327,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1965/66,13.0,76.0,98.0,26.0,35.0,0,248,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1966/67,21.0,119.0,112.0,71.0,14.0,0.0,337,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1967/68,2.0,124.0,125.0,102.0,35.0,0,388,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1968/69,0.0,32.0,147.0,94.0,111.0,0.0,384,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1969/70,9.0,68.0,65.0,130.0,85.0,0.0,357,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1970/71,37.0,65.0,35.0,46.0,52.0,0.0,235,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1971/72,9.0,46.0,41.0,94.0,22.0,8.0,220,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1972/73,2.0,35.0,73.0,67.0,77.0,0.0,254,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1973/74,51.0,118.0,142.0,118.0,47.0,0.0,476,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1974/75,4.0,70.0,95.0,124.0,29.0,0.0,322,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1975/76,0.0,44.0,128.0,64.0,33.0,0.0,269,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1976/77,22.0,144.0,184.0,101.0,21.0,0.0,472,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1977/78,0.0,50.0,155.0,126.0,47.0,7.0,385,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1978/79,0,17.0,98.0,27.0,9.0,0.0,151,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1979/80,3.0,34.0,110.0,199.0,44.0,3.0,393,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1980/81,0.0,219.0,198.0,98.0,30.0,0,545,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1981/82,11.0,88.0,96.0,74.0,33.0,0.0,302,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1982/83,10.0,12.0,93.0,130.0,42.0,0,287,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1983/84,31.0,20.0,136.0,158.0,98.0,3.0,446,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1984/85,0.0,89.0,106.0,86.0,41.0,0,322,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1985/86,10.0,42.0,154.0,77.0,60.0,3.0,346,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1986/87,1.0,11.0,84.0,112.0,53.0,0.0,261,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1987/88,3.0,24.0,144.0,111.0,32.0,0.0,314,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1988/89,4.0,75.0,59.0,51.0,4.0,0.0,193,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1989/90,11.0,57.0,90.0,22.0,14.0,0.0,194,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1990/91,0.0,28.0,104.0,121.0,19.0,0.0,272,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1991/92,2.0,45.0,39.0,72.0,72.0,0.0,230,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1992/93,8.0,89.0,73.0,77.0,24.0,0.0,271,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1993/94,3.0,75.0,77.0,139.0,22.0,0.0,316,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1994/95,0.0,66.0,154.0,57.0,34.0,4.0,315,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1995/96,0.0,80.0,154.0,96.0,50.0,0.0,380,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1996/97,5.0,20.0,102.0,94.0,0.0,0.0,221,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1997/98,0,19.0,205.0,38.0,14.0,10.0,286,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1998/99,16.0,15.0,98.0,61.0,23.0,0.0,213,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,1999/00,0.0,92.0,45.0,143.0,50.0,0.0,330,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2000/01,0.0,56.0,201.0,85.0,68.0,0.0,410,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2001/02,0.0,119.0,96.0,41.0,0.0,0,256,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2002/03,15.0,54.0,167.0,12.0,32.0,0,280,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2003/04,0.0,29.0,157.0,84.0,20.0,0.0,290,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2004/05,0,35.0,165.0,112.0,42.0,0.0,354,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2005/06,0,209.0,99.0,63.0,35.0,1.0,407,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2006/07,0,17.0,53.0,56.0,38.0,0,164,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2007/08,35.0,43.0,106.0,123.0,10.0,0,317,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2008/09,32.0,102.0,102.0,67.0,34.0,0,337,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2009/10,0,58.0,79.0,86.0,46.0,19.0,288,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2010/11,0,59.0,169.0,62.0,108.0,0,398,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2011/12,0,103.0,128.0,96.0,83.0,4.0,414,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2012/13,0,66.0,120.0,124.0,21.0,6.0,337,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2013/14,0,76.0,70.0,99.0,65.0,0,310,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2014/15,0,131.0,98.0,70.0,37.0,0,336,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2015/16,0,6.0,98.0,33.0,18.0,0,155,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2016/17,0,50.0,122.0,102.0,14.0,0,288,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2017/18,4.0,91.0,136.0,98.0,5.0,0,334,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2018/19,0,92.0,80.0,27.0,15.0,12.0,226,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2019/20,1.0,3.0,22.0,22.0,11.0,0,59,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2020/21,0,113.0,100.0,85.0,0,0,298,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2021/22,0,88.0,135.0,127.0,35.0,3.0,388,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2022/23,0,85.0,72.0,61.0,3.0,2.0,223,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2023/24,0,17.0,55.0,41.0,49.0,0,162,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2024/25,0,51.0,103.0,105.0,8.0,0,267,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
zao,山形,35,47588,2025/26,0,44.0,87.0,18.0,9.0,0,158,0,"Yamagata 153m; Zao base 780m — large gap, city undercounts"
